M,cuBLAS,Triton
256.0,5.5,4.7
384.0,13.8,13.8
512.0,26.2,26.2
640.0,23.3,32.0
768.0,45.0,49.2
896.0,39.0,45.3
1024.0,52.4,52.4
1152.0,63.5,66.4
1280.0,67.1,57.6
1408.0,46.6,69.0
1536.0,63.2,62.6
1664.0,50.3,59.6
1792.0,62.8,67.7
1920.0,63.7,65.8
2048.0,62.4,63.1
2176.0,64.3,63.7
2304.0,71.5,70.1
2432.0,54.3,67.5
2560.0,67.6,68.6
2688.0,63.4,67.1
2816.0,67.0,69.0
2944.0,67.3,67.9
3072.0,65.2,62.8
3200.0,65.4,66.9
3328.0,64.5,65.8
3456.0,67.5,68.7
3584.0,69.0,67.4
3712.0,62.9,65.4
3840.0,66.7,69.4
3968.0,61.9,68.1
4096.0,65.4,66.9
