M,cuBLAS,Triton
256.0,5.5,4.7
384.0,13.8,13.8
512.0,26.6,26.2
640.0,23.6,31.8
768.0,46.6,35.4
896.0,39.2,45.3
1024.0,52.4,42.8
1152.0,64.9,49.8
1280.0,69.4,47.1
1408.0,47.9,49.1
1536.0,64.3,50.6
1664.0,51.4,49.2
1792.0,64.2,48.7
1920.0,64.9,49.4
2048.0,63.8,49.8
2176.0,65.8,48.4
2304.0,72.8,49.1
2432.0,55.1,47.1
2560.0,69.9,47.4
2688.0,64.5,48.0
2816.0,68.8,47.6
2944.0,68.6,47.9
3072.0,65.9,47.7
3200.0,66.0,48.4
3328.0,65.5,47.6
3456.0,67.4,47.5
3584.0,69.5,48.3
3712.0,62.9,48.1
3840.0,66.8,47.9
3968.0,62.0,48.3
4096.0,65.9,48.5
